Name	CR	Alignment	Size	Base_Speed	Fly_Speed	Swim_Speed	Source	Type	subtype1	subtype2	subtype3	subtype4	subtype5	subtype6
Drow Noble	3	CE	Medium	20	0	0	PFRPG Bestiary	humanoid	elf 					
Drowning Devil	8	LE	Large	30	0	40	PFRPG Bestiary 4	outsider	devil	evil	extraplanar	lawful		
Dryad	3	CG	Medium	30	0	0	PFRPG Bestiary	fey						
Duergar	0.33	LE	Medium	20	0	0	PFRPG Bestiary	humanoid	dwarf 					
Dullahan	7	LE	Medium	30	0	0	PFRPG Bestiary 2	undead						
Dun Pudding	7	N	Huge	20	0	0	Tome of Horrors Complete	ooze						
Dune Horror	13	N	Huge	40	0	0	Tome of Horrors 4	magical beast						
Dunkleosteus	6	N	Huge	0	0	60	AP 56	animal	aquatic					
Duppy	7	CE	Medium	0	40	0	Isles Of The Shackles	undead	incorporeal					
Dust Digger	4	N	Large	10	0	0	PFRPG Bestiary 2	aberration						
Dust Digger	4	N	Large	10	0	0	Tome of Horrors Complete	aberration						
Dust Ghoul	8	CE	Medium	40	0	0	Tome of Horrors Complete	undead	air	earth	extraplanar			
Dvorovoi	4	CN	Small	30	0	0	AP 67	fey						
Dwarf Caiman	0.33	N	Small	10	0	30	AP 55	animal						
Dweomercat	7	CN	Medium	40	0	0	AP 36	magical beast						
Dweomercat Cub	2	CN	Tiny	20	0	0	AP 36	magical beast						
Dwiergeth	13	CE	Large	60	0	0	The Worldwound	aberration	extraplanar					
Dybbuk	15	NE	Medium	0	60	0	PFRPG Bestiary 3	undead	incorporeal					
Eagle	0.50	N	Small	10	80	0	PFRPG Bestiary	animal						
Earth Elemental Construct	13	N	Huge	30	0	0	Tome of Horrors Complete	construct	earth	elemental	extraplanar			
Eblis	3	NE	Medium	30	0	0	Tome of Horrors Complete	magical beast						
Ebon Acolytus	7	N	Large	30	0	0	AP 30	construct						
Ebon Ooze	6	NE	Huge	20	0	20	Tome of Horrors 4	ooze						
Ebony Horse	6	N	Large	50	0	0	Tome of Horrors 4	outsider	extraplanar	native				
Ecorche	16	CE	Large	30	0	0	PFRPG Bestiary 3	undead						
Ectoplasm	5	N	Large	0	30	0	Tome of Horrors Complete	ooze	incorporeal					
Ectoplasmic Human	0.50	N	Medium	30	0	0	PFRPG Bestiary 4	undead						
Edon	1	N	Small	30	0	0	Tome of Horrors 4	magical beast						
Efreeti	8	LE	Large	20	40	0	PFRPG Bestiary	outsider	extraplanar	fire				
Einherji	10	CN	Medium	30	0	0	PFRPG Bestiary 4	outsider	extraplanar					
Ekimmu	7	CE	Medium	0	30	0	Tome of Horrors 4	undead	incorporeal					
Elasmosaurus	7	N	Huge	20	0	50	PFRPG Bestiary	animal						
Elder Acid Quasi-elemental	9	N	Huge	20	0	80	Tome of Horrors Complete	outsider	acid	elemental	extraplanar			
Elder Air Elemental	11	N	Huge	0	100	0	PFRPG Bestiary	outsider	air	elemental	extraplanar			
Elder Earth Elemental	11	N	Huge	20	0	0	PFRPG Bestiary	outsider	earth	elemental	extraplanar			
Elder Fire Elemental	11	N	Huge	60	0	0	PFRPG Bestiary	outsider	elemental	extraplanar	fire			
Elder Gravity Elemental	11	N	Huge	0	100	0	Tome of Horrors Complete	outsider	elemental	extraplanar	gravity			
Elder Ice Elemental	11	N	Huge	20	0	60	PFRPG Bestiary 2	outsider	air	cold	elemental	extraplanar	water	
Elder Lightning Elemental	11	N	Huge	0	100	0	PFRPG Bestiary 2	outsider	air	elemental	extraplanar			
Elder Magma Elemental	11	N	Huge	20	0	0	PFRPG Bestiary 2	outsider	earth	elemental	extraplanar	fire		
Elder Mud Elemental	11	N	Huge	20	0	30	PFRPG Bestiary 2	outsider	earth	elemental	extraplanar	water		
Elder Negative Energy Elemental	12	N	Huge	0	60	0	Tome of Horrors Complete	outsider	elemental	extraplanar				
Elder Nirento	6	N	Huge	10	0	0	Isles Of The Shackles	plant						
Elder Obsidian Quasi-elemental	9	N	Huge	20	0	0	Tome of Horrors Complete	outsider	earth	elemental	extraplanar			
Elder Positive Energy Elemental	12	N	Huge	0	60	0	Tome of Horrors Complete	outsider	elemental	extraplanar				
Elder Salt Elemental	10	N	Huge	20	0	0	Tome of Horrors 4	outsider	earth	elemental	extraplanar			
Elder Smoke Elemental	11	N	Huge	0	80	0	Tome of Horrors 4	outsider	air	elemental	extraplanar	fire		
Elder Thing	5	LN	Medium	30	0	60	PFRPG Bestiary 4	aberration	aquatic					
Elder Water Elemental	11	N	Huge	20	0	90	PFRPG Bestiary	outsider	elemental	extraplanar	water			
Elder Witchlights	0.25	N	Fine	0	30	0	Tome of Horrors 4	fey						
Electric Eel	2	N	Small	5	0	30	PFRPG Bestiary	animal						
Electric Eel	2	N	Large	0	0	40	Tome of Horrors Complete	animal	aquatic					
Elemental Air Dragon	18	NE	Huge	20	0	0	Tome of Horrors Complete	outsider	air	elemental	extraplanar			
Elemental Earth Dragon	20	NE	Huge	20	0	0	Tome of Horrors Complete	outsider	earth	elemental	extraplanar			
Elemental Fire Dragon	22	NE	Huge	40	0	0	Tome of Horrors Complete	outsider	elemental	extraplanar	fire			
Elemental Water Dragon	18	NE	Huge	40	100	90	Tome of Horrors Complete	outsider	elemental	extraplanar	water			
Elephant	7	N	Huge	40	0	0	PFRPG Bestiary	animal						
Elk	1	N	Medium	50	0	0	PFRPG Bestiary 3	animal						
Elohim	23	N	Huge	60	60	60	PFRPG Bestiary 4	outsider	extraplanar	mythic				
Elusa Hound	3	N	Medium	50	0	0	Tome of Horrors Complete	magical beast						
Elven Wasp	4	N	Medium	20	0	0	Tome of Horrors 4	vermin						
Elysian Titan	21	CG	Colossal	60	0	0	PFRPG Bestiary 2	outsider	chaotic	extraplanar	good			
Emberleaf	4	N	Small	20	0	0	Tome of Horrors 4	plant						
Emperor Cobra	5	N	Large	30	0	30	PFRPG Bestiary 2	animal						
Emperor of Scales	15	CE	Huge	30	0	0	AP 42	outsider	chaotic	evil	native			
Emperor Walrus	8	N	Gargantuan	20	0	60	PFRPG Bestiary 4	animal						
Empyreal	15	LG	Large	40	70	0	Tome of Horrors Complete	outsider	angel	extraplanar	good	lawful		
Encephalon Gorger	8	CE	Medium	30	0	0	Tome of Horrors Complete	aberration	extraplanar					
End's Voice	15	CN	Large	40	0	0	AP 64	outsider	chaotic	extraplanar				
Entropic Ooze	9	N	Large	20	0	0	Tome of Horrors Complete	ooze	extraplanar					
Ephialtes Kyton	16	LE	Huge	30	0	0	AP 30	outsider	evil	extraplanar	kyton	lawful		
Eremite	20	LE	Medium	40	0	0	PFRPG Bestiary 3	outsider	evil	extraplanar	kyton	lawful		
Erinyes Devil	8	LE	Medium	30	50	0	PFRPG Bestiary	outsider	devil	evil	extraplanar	lawful		
Erlking	18	CN	Medium	70	0	0	PFRPG Bestiary 4	fey						
Ermine	0.50	N	Tiny	20	0	0	Reign Of Winter Player's Guide	animal						
Erodaemon	11	NE	Medium	30	0	0	Horsemen Of The Apocalypse	outsider	daemon	evil	extraplanar			
Ethereal Rat	2	N	Small	20	0	0	Tome of Horrors Complete	magical beast						
Ettercap	3	NE	Medium	30	0	0	PFRPG Bestiary	aberration						
Ettin	6	CE	Large	40	0	0	PFRPG Bestiary	humanoid	giant					
Euparkeria	0.50	N	Small	40	0	0	Tome of Horrors 4	animal						
Euryale	22	LE	Large	30	0	0	Tome of Horrors Complete	outsider	evil	extraplanar	lawful			
Executioner's Hood	2	N	Tiny	10	0	0	PFRPG Bestiary 4	aberration						
Executioner's Hood	2	N	Tiny	10	0	0	Tome of Horrors Complete	aberration						
Eye Killer	4	CE	Medium	30	0	0	Tome of Horrors Complete	magical beast						
Eye Of The Deep	6	LE	Medium	5	0	20	Tome of Horrors Complete	aberration	aquatic					
Faceless Stalker	4	CE	Medium	30	0	0	PFRPG Bestiary 2	aberration	shapechanger					
Faceless Whale	15	N	Colossal	0	0	40	AP 60	magical beast						
Fachan	6	NE	Large	30	0	0	Tome of Horrors 4	humanoid	giant					
Fachen	5	NE	Medium	30	0	0	PFRPG Bestiary 4	aberration						
Faerie Dragon	2	CG	Tiny	10	0	0	PFRPG Bestiary 3	dragon						
Faerie Dragon	2	CG	Tiny	10	0	0	Tome of Horrors Complete	dragon						
Fafnheir	24	CE	Colossal	50	100	50	Lands Of The Linnorm Kings	dragon						
Fallen	8	LE	Medium	0	30	0	AP 75	undead	incorporeal					
Fanged Sea Serpent	6	N	Large	0	0	30	Tome of Horrors Complete	dragon	aquatic					
Fast Zombie	0.50	NE	Medium	40	0	0	d20pfsrd	undead						
Faun	1	CG	Medium	30	0	0	PFRPG Bestiary 3	fey						
Fear Guard	5	CE	Medium	0	30	0	Tome of Horrors Complete	undead	incorporeal					
Fen Witch	5	CE	Medium	30	0	0	Tome of Horrors Complete	monstrous humanoid						
Feral Vampire Spawn	6	CE	Medium	30	0	0	Tome of Horrors 4	undead	augmented human					
Ferrous Giant	17	N	Huge	50	0	0	Tome of Horrors Complete	humanoid	giant					
Festering Lung	10	N	Medium	0	10	0	Tome of Horrors 4	vermin	swarm					
Festering Spirit	8	CE	Medium	0	40	0	PFRPG Bestiary 4	undead	incorporeal					
Festrog	1	NE	Medium	30	0	0	PFRPG Bestiary 3	undead						
Fetch	2	LE	Medium	30	0	0	Tome of Horrors Complete	undead	cold					
Fetchling	0.50	N	Medium	30	0	0	PFRPG Bestiary 2	outsider	native					
Fext	10	LE	Medium	40	0	0	AP 71	undead						
Fey Giant Toad	3	CN	Large	30	0	15	PFRPG Bestiary 3	fey						
Fey Wolverine	3	CN	Medium	40	0	0	Lands Of The Linnorm Kings	fey	augmented animal					
Filcher Gremlin	6	CE	Small	20	0	0	Tome of Horrors Complete	fey						
Fire Beetle	0.33	N	Small	30	30	0	PFRPG Bestiary	vermin						
Fire Crab, Medium	2	N	Medium	30	0	20	Tome of Horrors 4	vermin	fire					
Fire Crab, Small	0.50	N	Tiny	30	0	20	Tome of Horrors 4	vermin	fire					
Fire Drake	3	CE	Small	20	0	0	Tome of Horrors Complete	dragon	fire					
Fire Eel	5	N	Large	0	0	40	Tome of Horrors 4	magical beast	aquatic					
Fire Elemental Construct	13	N	Huge	60	0	0	Tome of Horrors Complete	construct	elemental	fire	extraplanar			
Fire Fish	1	N	Small	0	0	40	Tome of Horrors 4	animal	aquatic*	fire				
Fire Giant	10	LE	Large	40	30	0	PFRPG Bestiary	humanoid	fire	giant				
Fire Lizard	8	N	Huge	30	0	0	Tome of Horrors Complete	magical beast	fire					
Fire Nymph	4	CN	Medium	30	0	0	Tome of Horrors Complete	outsider	extraplanar	fire				
Fire Phantom	5	CE	Medium	30	0	0	Tome of Horrors Complete	undead	extraplanar	fire				
Fire Snake	1	N	Small	20	0	0	Tome of Horrors Complete	outsider	extraplanar	fire				
Fire Whale	10	N	Huge	0	0	40	Tome of Horrors Complete	magical beast	extraplanar	fire				
Fire Yai	15	NE	Large	40	0	0	PFRPG Bestiary 3	outsider	fire	giant	native	oni	shapechanger	
Firebird	8	NG	Large	30	0	0	Tome of Horrors 4	magical beast						
First Blade	15	CN	Large	30	0	0	AP 35	outsider	chaotic	extraplanar				
Fisherman	15	LE	Large	40	0	30	Tome of Horrors 4	outsider	aquatic	evil	lawful	native		
Fjord Linnorm	16	CE	Gargantuan	30	0	60	PFRPG Bestiary 3	dragon	aquatic					
Flagstone Golem	7	N	Large	30	0	0	Tome of Horrors Complete	construct						
Flail Snail	3	N	Large	10	0	0	Tome of Horrors Complete	magical beast						
Flail Snail	4	N	Large	10	0	0	PFRPG Bestiary 3	magical beast						
Flame Drake	5	CE	Large	20	60	0	PFRPG Bestiary 2	dragon	fire					
Flame Drakeling	2	N	Tiny	20	0	0	Tome of Horrors 4	dragon	fire					
Flaming Skull	0.50	NE	Tiny	0	40	0	AP 43	undead						
Flayed Angel	16	NE	Large	40	0	0	Tome of Horrors 4	undead	extraplanar					
Flayer Devil	11	LE	Large	40	0	0	Tome of Horrors Complete	outsider	devil	evil	extraplanar	lawful		
Flesh Colossus	16	N	Gargantuan	60	0	0	PFRPG Bestiary 4	construct	colossus	mythic				
Flesh Golem	7	N	Large	30	0	0	PFRPG Bestiary	construct						
Fleshdreg	1	NE	Small	30	0	0	PFRPG Bestiary 4	aberration						
Fleshdreg Swarm	2	NE	Tiny	30	0	0	AP 61	aberration	swarm					
Flind	2	LE	Medium	20	0	0	Tome of Horrors Complete	humanoid	gnoll					
Floating Eye	0.33	N	Diminutive	0	0	60	Tome of Horrors Complete	magical beast	aquatic					
Flumph	1	LG	Small	5	0	0	PFRPG Bestiary 3	aberration						
Flumph	1	LG	Small	5	0	0	Tome of Horrors Complete	aberration						
Flying Polyp	14	CE	Huge	30	0	0	PFRPG Bestiary 4	aberration	air					
Flying Squirrel	0.33	N	Tiny	20	0	0	PFRPG Bestiary 3	animal						
Fogwarden	5	NE	Medium	0	40	0	Tome of Horrors Complete	aberration						
Fomorian Titan	22	CE	Colossal	30	40	0	PFRPG Bestiary 4	outsider	chaotic	evil	extraplanar	mythic		
Foo Dog	2	NG	Medium	30	0	0	PFRPG Bestiary 3	outsider	augmented animal	good	extraplanar			
Forest Drake	4	LE	Large	30	60	30	PFRPG Bestiary 2	dragon	earth					
Forester's Bane	5	N	Large	0	0	0	Tome of Horrors Complete	plant						
Forgefiend	10	LE	Large	20	0	0	RotRL-AE-Appendix	outsider	earth	extraplanar				
Forgotten One	2	N	Diminutive	20	0	0	Tome of Horrors Complete	fey						
Forlarren	2	NE	Medium	30	0	0	PFRPG Bestiary 2	fey						
Forlarren	2	NE	Medium	30	0	0	Tome of Horrors Complete	fey						
Formian Myrmarch	10	LN	Large	50	0	0	PFRPG Bestiary 4	monstrous humanoid						
Formian Queen	17	LN	Large	5	0	0	PFRPG Bestiary 4	monstrous humanoid						
Formian Taskmaster	7	LN	Medium	40	0	0	PFRPG Bestiary 4	monstrous humanoid						
Formian Warrior	3	LN	Medium	40	0	0	PFRPG Bestiary 4	monstrous humanoid						
Formian Worker	0.50	LN	Small	40	0	0	PFRPG Bestiary 4	monstrous humanoid						
Forsaken Lich	12	NE	Medium	20	0	0	AP 48	undead	augmented humanoid					
Fossegrim	4	NE	Medium	30	0	40	PFRPG Bestiary 4	fey	aquatic					
Fossil Golem	12	N	Huge	30	0	0	PFRPG Bestiary 3	construct						
Fountain Fungus	8	N	Large	10	0	0	Tome of Horrors 4	plant						
Four-armed	3	LE	Medium	30	0	60	AP 56	monstrous humanoid	aquatic					
Four-armed Gargoyle	5	CE	Medium	40	0	0	Tome of Horrors Complete	monstrous humanoid	earth					
Fox	0.25	N	Tiny	40	0	0	PFRPG Bestiary 3	animal						
Fox	0.33	N	Small	40	0	0	Tome of Horrors Complete	animal						
Fraz-urb'luu	29	CE	Huge	40	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Freezing Flow	4	N	Large	20	0	20	PFRPG Bestiary 4	ooze	cold	water				
Frog Stone Idol	6	N	Large	20	0	0	Tome of Horrors 4	construct						
Froghemoth	13	N	Huge	20	0	30	PFRPG Bestiary	aberration						
Froghemoth	13	N	Huge	20	0	30	Tome of Horrors Complete	aberration						
Frost Drake	7	CE	Large	20	0	0	PFRPG Bestiary 2	dragon	cold					
Frost Drakeling	3	N	Tiny	20	40	0	Tome of Horrors 4	dragon	cold					
Frost Dwarf	1	CN	Medium	20	0	0	Tome of Horrors 4	humanoid	cold	dwarf				
Frost Fir	1	NE	Medium	30	0	0	AP 67	plant	cold					
Frost Giant	9	CE	Large	40	0	0	PFRPG Bestiary	humanoid	cold	giant				
Frost Man	2	LE	Medium	30	0	0	Tome of Horrors Complete	humanoid	cold					
Frost Wight	4	LE	Medium	30	0	0	PFRPG Bestiary	undead	cold					
Frost Worm	12	N	Huge	30	0	0	PFRPG Bestiary 2	magical beast	cold					
Frostfallen Mammoth	10	NE	Huge	40	0	0	AP 51	undead	cold					
Fuath	1	CE	Tiny	20	0	30	PFRPG Bestiary 3	fey	aquatic					
Fukujin	3	LN	Tiny	30	0	0	AP 52	outsider	kami	native				
Fungal Crawler	3	N	Small	20	0	0	PFRPG Bestiary 2	aberration						
Fungal Nymph	8	CG	Medium	20	0	10	PFRPG Bestiary 4	plant	augmented fey					
Fungoid	3	NE	Medium	30	0	0	Tome of Horrors Complete	plant	fungus					
Fungus Gargoyle	5	NE	Medium	40	0	0	Tome of Horrors Complete	plant	fungus					
Fungus Leshy	2	N	Small	20	0	0	PFRPG Bestiary 3	plant	leshy	shapechanger				
Fungus Man	2	N	Small	20	0	0	Tome of Horrors 4	plant						
Fungus Man King	4	N	Medium	20	0	0	Tome of Horrors 4	plant						
Fungus Queen	9	CE	Medium	20	0	0	Inner Sea Bestiary	plant	extraplanar					
Fungus Weird	4	N	Large	30	0	0	Tome of Horrors Complete	plant	fungus					
Furnace Golem	14	N	Huge	20	0	0	Tome of Horrors Complete	construct						
Fye	4	N	Medium	0	50	0	Tome of Horrors Complete	undead	incorporeal					
Fyr	2	N	Small	30	0	0	Tome of Horrors Complete	fey						
Gaki	7	NE	Medium	30	0	0	PFRPG Bestiary 4	undead						
Galley Beggar	8	CE	Medium	0	50	0	Tome of Horrors 4	undead	incorporeal					
Gallowdead	16	CE	Medium	30	0	0	PFRPG Bestiary 4	undead						
Gallows Tree	13	N	Huge	20	0	0	Tome of Horrors Complete	plant						
Gallows Tree Zombie	4	N	Medium	30	0	0	Tome of Horrors Complete	plant						
Gallu	19	CE	Medium	50	0	0	The Worldwound	outsider	chaotic	demon	evil	extraplanar		
Gallu-Demon	6	CE	Large	30	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Galvo	9	NE	Medium	30	0	30	PFRPG Bestiary 4	magical beast	aquatic					
Gambado	3	CN	Medium	40	0	0	Tome of Horrors Complete	aberration						
Gar	1	N	Medium	0	0	60	PFRPG Bestiary 2	animal	aquatic					
Garden Ooze	2	N	Small	20	0	0	PFRPG Bestiary 3	ooze						
Gare Linnorm	15	CE	Gargantuan	40	0	100	AP 50	dragon	aquatic					
Gargantuan Monstrous Sea Wasp	11	N	Gargantuan	0	0	60	Tome of Horrors Complete	vermin	aquatic					
Gargiya	10	N	Huge	20	0	50	AP 60	magical beast	aquatic					
Gargoyle	4	CE	Medium	40	60	0	PFRPG Bestiary	monstrous humanoid	earth					
Gargoyle Guardian	8	N	Large	30	60	0	AP 48	construct						
Gargoyle Stone Idol	5	N	Medium	30	0	0	Tome of Horrors 4	construct						
Garipan	10	NE	Medium	20	50	0	Academy Of Secrets	outsider	native					
Garuda	9	CG	Medium	30	0	0	PFRPG Bestiary 3	outsider	native					
Gashadokuro	13	NE	Huge	30	0	0	PFRPG Bestiary 4	undead						
Gathlain	0.50	CN	Small	30	0	0	PFRPG Bestiary 4	fey						
Gearghost	5	CE	Tiny	0	40	0	PFRPG Bestiary 4	undead						
Geist	9	CE	Medium	0	40	0	PFRPG Bestiary 4	undead	incorporeal					
Gelatinous Cube	3	N	Large	15	0	0	PFRPG Bestiary	ooze						
Gelatinous Emperor	17	CE	Huge	20	0	0	Tome of Horrors 4	ooze	chaotic	evil	extraplanar			
Gelatinous Golem	10	N	Large	30	0	0	Tome of Horrors Complete	construct						
Genthodaemon	5	NE	Large	30	0	0	AP 71	outsider	daemon	evil	extraplanar			
Geon	9	N	Large	20	0	0	Tome of Horrors Complete	outsider	earth	elemental	extraplanar			
Geruzou Demon	5	CE	Small	30	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Geryon	29	LE	Huge	20	0	0	Tome of Horrors Complete	outsider	devil	evil	extraplanar	lawful		
Ghaddar Devil	16	LE	Huge	40	0	0	Tome of Horrors Complete	outsider	devil	evil	extraplanar	lawful		
Ghaele Azata	13	CG	Medium	50	150	0	PFRPG Bestiary	outsider	azata	chaotic	extraplanar	good		
Ghaggurath	18	N	Huge	20	0	0	Tome of Horrors 4	aberration						
Gharros Demon	14	CE	Large	30	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Ghast	2	CE	Medium	30	0	0	d20pfsrd	undead						
Ghawwas	10	NE	Large	30	0	80	PFRPG Bestiary 3	outsider	aquatic	div	evil	extraplanar		
Ghirru	9	LE	Large	30	0	0	Tome of Horrors 4	undead	extraplanar	fire				
Gholdako	10	NE	Large	30	0	0	PFRPG Bestiary 4	undead						
Ghonhatine	10	CE	Large	40	0	0	PFRPG Bestiary 4	aberration						
Ghoran	0.50	N	Medium	30	0	0	Inner Sea Bestiary	plant						
Ghorazagh	13	NE	Large	40	40	0	PFRPG Bestiary 3	aberration						
Ghost	7	CE	Medium	0	30	0	PFRPG Bestiary	undead	augmented humanoid	incorporeal				
Ghost Scorpion	0.50	N	Small	30	0	0	PFRPG Bestiary 3	vermin						
Ghost-faced Orc	0.33	CE	Medium	30	0	0	Tome of Horrors Complete	humanoid	orc					
Ghoul	1	CE	Medium	30	0	0	PFRPG Bestiary	undead						
Ghoul Dire Wolf	6	NE	Large	50	0	0	Tome of Horrors Complete	undead						
Ghoul Monkey	1	CE	Small	30	0	0	Tome of Horrors 4	undead						
Ghoul Wolf	2	NE	Medium	50	0	0	Tome of Horrors Complete	undead						
Ghoul-stirge	3	CE	Medium	20	0	0	Tome of Horrors Complete	undead						
Ghul	5	CE	Medium	40	0	0	PFRPG Bestiary 3	undead	shapechanger					
Giant Abyssal Dire Frog	4	CE	Large	40	0	40	Tome of Horrors Complete	outsider	augmented animal	extraplanar				
Giant Adult Ant Lion	6	N	Huge	30	0	0	PFRPG Bestiary 3	vermin						
Giant Anaconda	10	N	Gargantuan	20	0	20	PFRPG Bestiary 2	animal						
Giant Ant	2	N	Medium	50	0	0	PFRPG Bestiary	vermin						
Giant Ant Lion	5	N	Large	30	0	0	PFRPG Bestiary 3	vermin						
Giant Archerfish	1	N	Medium	0	0	40	Tome of Horrors Complete	animal	aquatic					
Giant Assassin Bug	5	N	Medium	30	50	0	Tome of Horrors Complete	vermin						
Giant Barracuda	5	N	Large	0	0	50	Tome of Horrors Complete	animal	aquatic					
Giant Bee	1	N	Medium	20	60	0	PFRPG Bestiary 2	vermin						
Giant Beheaded	2	NE	Large	0	30	0	AP 43	undead						
Giant Black Widow Spider	3	N	Large	30	0	0	PFRPG Bestiary 2	vermin						
Giant Blister Beetle	1	N	Small	30	0	0	Tome of Horrors Complete	vermin						
Giant Blowfish	5	N	Large	30	0	0	AP 56	animal	aquatic					
Giant Bog Turtle	12	N	Huge	30	0	40	Tome of Horrors Complete	magical beast	aquatic					
Giant Boring Beetle	3	N	Large	20	0	0	Tome of Horrors Complete	vermin						
Giant Botfly	0.33	N	Tiny	5	60	0	Heart of the Jungle	vermin						
Giant Bumblebee, Queen	5	N	Large	20	0	0	Tome of Horrors Complete	vermin						
Giant Bumblebee, Worker	3	N	Large	20	0	0	Tome of Horrors Complete	vermin						
Giant Caribe	1	N	Medium	0	0	40	Tome of Horrors Complete	animal	aquatic					
Giant Centipede	0.50	N	Medium	40	0	0	PFRPG Bestiary	vermin						
Giant Chameleon	3	N	Large	20	0	0	Tome of Horrors Complete	animal						
Giant Chameleon	3	N	Large	40	0	0	PFRPG Bestiary 3	animal						
Giant Clam	2	N	Large	5	0	0	Tome of Horrors Complete	vermin	aquatic					
Giant Cobalt Viper	7	N	Large	30	0	20	Tome of Horrors 4	magical beast	extraplanar					
Giant Cockroach	0.50	N	Small	30	40	0	PFRPG Bestiary 2	vermin						
Giant Crab	2	N	Medium	30	0	20	PFRPG Bestiary	vermin	aquatic					
Giant Crab Spider	0.50	N	Small	30	0	0	PFRPG Bestiary 3	vermin						
Giant Crawling Hand	5	NE	Medium	30	0	0	PFRPG Bestiary 2	undead						
Giant Death Watch Beetle	6	N	Medium	30	0	0	Tome of Horrors Complete	vermin						
Giant Dire Frog	3	N	Large	40	0	40	Tome of Horrors Complete	animal						
Giant Dragonfly	4	N	Medium	20	0	0	Tome of Horrors Complete	vermin						
Giant Dragonfly	4	N	Medium	20	80	0	PFRPG Bestiary 2	vermin						
Giant Dragonfly Nymph	3	N	Small	10	0	30	PFRPG Bestiary 2	vermin	aquatic					
Giant Eagle	3	NG	Large	10	80	0	PFRPG Bestiary	magical beast						
Giant Electric Catfish	6	N	Large	0	0	40	Tome of Horrors Complete	animal	aquatic					
Giant Emperor Scorpion	11	N	Gargantuan	50	0	0	PFRPG Bestiary 4	vermin						
Giant Falcon	2	N	Large	10	0	0	Tome of Horrors Complete	animal						
Giant Flea	0.50	N	Tiny	20	0	0	Tome of Horrors Complete	vermin						
Giant Flea	0.50	N	Small	30	0	0	PFRPG Bestiary 4	vermin						
Giant Fly	1	N	Medium	20	0	0	PFRPG Bestiary 2	vermin						
Giant Fly	1	N	Medium	30	0	0	Tome of Horrors Complete	vermin						
Giant Flying Piranha	2	N	Small	0	0	50	Tome of Horrors 4	animal	aquatic					
Giant Flytrap	10	N	Huge	10	0	0	PFRPG Bestiary	plant						
Giant Forest Lizard	5	N	Large	30	0	0	Tome of Horrors 4	animal						
Giant Frilled Lizard	5	N	Large	30	0	0	PFRPG Bestiary	animal						
Giant Frog	1	N	Medium	30	0	30	PFRPG Bestiary	animal						
Giant Frog	1	N	Medium	30	0	30	Tome of Horrors Complete	animal						
Giant Funnel-Web Spider	6	N	Large	30	0	0	Tome of Horrors 4	vermin						
Giant Gar	6	N	Huge	0	0	60	PFRPG Bestiary 2	animal	aquatic					
Giant Gecko	1	N	Medium	40	0	0	PFRPG Bestiary 3	animal						
Giant Hamster	3	N	Large	20	0	0	Tome of Horrors Complete	animal						
Giant Hellgrammite	5	N	Large	30	0	20	AP 49	vermin	aquatic					
Giant Hornet	5	N	Large	20	0	0	Tome of Horrors Complete	vermin						
Giant Horsefly	3	N	Large	20	0	0	Tome of Horrors Complete	vermin						
Giant Isopod	0.13	N	Tiny	20	0	10	AP 55	vermin	aquatic					
Giant Jellyfish	7	N	Large	0	0	20	PFRPG Bestiary 2	vermin	aquatic					
Giant Leech	2	N	Medium	5	0	20	PFRPG Bestiary	vermin	aquatic					
Giant Leech	2	N	Medium	5	0	20	Tome of Horrors Complete	vermin	aquatic					
Giant Locust	3	N	Medium	20	60	0	PFRPG Bestiary 4	vermin						
Giant Maggot	0.50	N	Medium	10	0	0	PFRPG Bestiary 2	vermin						
Giant Mantis	3	N	Large	30	40	0	PFRPG Bestiary	vermin						
Giant Marmoset	1	N	Medium	40	0	0	Tome of Horrors Complete	animal						
Giant Moray Eel	5	N	Large	0	0	30	PFRPG Bestiary	animal	aquatic					
Giant Moray Eel	5	N	Large	5	0	30	Tome of Horrors Complete	animal	aquatic					
Giant Mosquito	0.50	N	Small	30	0	0	Tome of Horrors Complete	vermin						
Giant Mosquito	6	N	Medium	20	60	0	PFRPG Bestiary 2	vermin						
Giant Octopus	8	N	Large	20	0	30	PFRPG Bestiary	animal	aquatic					
Giant Owl	5	LN	Huge	10	0	0	PFRPG Bestiary 3	magical beast						
Giant Phantom Armor	4	NE	Large	20	0	0	PFRPG Bestiary 4	undead						
Giant Pike	4	N	Large	0	0	60	Tome of Horrors Complete	animal	aquatic					
Giant Porcupine	2	N	Medium	40	0	0	PFRPG Bestiary 3	animal						
Giant Proto-Creature	12	NE	Large	30	0	0	Tome of Horrors 4	monstrous humanoid						
Giant Queen Bee	5	N	Large	20	60	0	PFRPG Bestiary 2	vermin						
Giant Rhinoceros Beetle	7	N	Large	20	0	0	Tome of Horrors Complete	vermin						
Giant Rock-horned Lizard	3	N	Medium	30	0	0	Tome of Horrors Complete	animal						
Giant Rot Grub	3	N	Small	20	0	0	PFRPG Bestiary 3	vermin						
Giant Saw-toothed Beetle	3	N	Medium	30	0	0	Tome of Horrors Complete	vermin						
Giant Scorpion	3	N	Large	50	0	0	PFRPG Bestiary	vermin						
